"";"Jahr";"Bezirksart";"Geschlecht";"Geburtsjahresgruppe";"Summe";"Ungültig";"CDU";"SPD";"DIE LINKE";"GRÜNE";"CSU";"FDP";"AfD";"Sonstige";"dar. NPD";"dar. FREIE WÄHLER";"dar. dieBasis";"dar. BSW"
"1";2017;"Urne";"m";"1993 - 1999";1314175;10808;228233;248262;140173;143380;51775;210743;139242;141559;8986;10659;0;0
"2";2017;"Urne";"m";"1983 - 1992";2221168;16436;403095;375387;261135;175845;92200;275444;397382;224245;24519;26132;0;0
"3";2017;"Urne";"m";"1973 - 1982";2393182;16942;511019;366008;229647;202961;111814;282114;508168;164507;23311;27639;0;0
"4";2017;"Urne";"m";"1958 - 1972";5242745;39513;1144117;1073899;505217;444869;241121;536763;1056876;200371;23852;47760;0;0
"5";2017;"Urne";"m";"1948 - 1957";2619380;29084;600955;633570;304388;150092;126807;253365;467682;53437;7611;16814;0;0
"6";2017;"Urne";"m";"1947 und früher";2864393;55527;905802;756548;225711;91447;177591;279486;343682;28597;3263;10163;0;0
"7";2017;"Urne";"w";"1993 - 1999";1201097;9218;256046;235545;130552;203052;55804;112570;80492;117817;4752;11748;0;0
"8";2017;"Urne";"w";"1983 - 1992";2144967;16082;506440;397309;232904;258885;102210;191879;236696;202561;16311;28819;0;0
"9";2017;"Urne";"w";"1973 - 1982";2407460;19064;653836;406791;218170;291387;132742;237238;290684;157547;11341;29886;0;0
"10";2017;"Urne";"w";"1958 - 1972";5050757;47889;1350920;1016840;482912;593505;258159;472148;590249;238136;12081;55248;0;0
"11";2017;"Urne";"w";"1948 - 1957";2652817;37573;800964;597080;275040;192342;148901;247394;282989;70534;3701;21278;0;0
"12";2017;"Urne";"w";"1947 und früher";3433732;89430;1354252;840237;216741;141112;241174;302355;203357;45075;2084;14490;0;0
"13";2017;"Brief";"m";"1993 - 1999";371532;2328;70755;55465;34361;48361;27590;68612;27088;36971;1644;4871;0;0
"14";2017;"Brief";"m";"1983 - 1992";756038;3055;148223;110198;75494;84094;56209;124257;80188;74319;4455;11874;0;0
"15";2017;"Brief";"m";"1973 - 1982";683341;2643;153403;87880;55442;78038;53965;104753;94705;52513;4530;10454;0;0
"16";2017;"Brief";"m";"1958 - 1972";1689681;7422;398900;305809;136437;164207;120924;212730;266630;76623;6140;23306;0;0
"17";2017;"Brief";"m";"1948 - 1957";1134057;5947;274770;262247;112178;74578;78673;141680;153568;30417;1631;10602;0;0
"18";2017;"Brief";"m";"1947 und früher";1461084;10191;462100;356612;104648;48203;140217;178207;140107;20799;1699;8264;0;0
"19";2017;"Brief";"w";"1993 - 1999";466377;1932;108548;73012;41329;92524;35748;47136;18646;47502;1267;6040;0;0
"20";2017;"Brief";"w";"1983 - 1992";871442;3570;217581;133418;76755;139022;75708;86654;52453;86280;4028;16456;0;0
"21";2017;"Brief";"w";"1973 - 1982";718316;3342;198578;102666;54130;102831;64758;77347;56745;57919;2982;12877;0;0
"22";2017;"Brief";"w";"1958 - 1972";1947421;9017;538561;351614;155786;248597;150726;202247;175592;115280;4052;31261;0;0
"23";2017;"Brief";"w";"1948 - 1957";1312579;8622;395717;285702;115037;106136;107758;145519;103265;44824;767;14791;0;0
"24";2017;"Brief";"w";"1947 und früher";2018599;15214;764841;467279;113082;82929;217115;208809;111629;37700;1056;12808;0;0
"25";2021;"Urne";"m";"1997 - 2003";1091012;5773;86719;160787;79475;196099;19133;287494;100397;155135;0;21066;11318;0
"26";2021;"Urne";"m";"1987 - 1996";1642389;10909;170023;264410;119158;273654;35885;281473;258747;228130;0;38634;24944;0
"27";2021;"Urne";"m";"1977 - 1986";1891787;13179;273499;331007;99521;264351;55010;244319;411623;199278;0;43841;35999;0
"28";2021;"Urne";"m";"1962 - 1976";3645417;26089;670927;866504;160320;432929;132858;403575;709978;242237;0;67597;53584;0
"29";2021;"Urne";"m";"1952 - 1961";2150917;25016;436891;654981;114702;199728;83040;182437;365255;88867;0;30711;19358;0
"30";2021;"Urne";"m";"1951 und früher";2168193;41755;636574;738799;99647;114846;122071;156789;212075;45636;0;15756;7692;0
"31";2021;"Urne";"w";"1997 - 2003";931405;7168;76501;160450;92751;225160;12668;146308;60814;149584;0;15980;12097;0
