"";"Jahr";"Land";"Bezirksart";"Geschlecht";"Geburtsjahresgruppe";"Summe";"Ungültig";"CDU";"SPD";"DIE LINKE";"GRÜNE";"CSU";"FDP";"AfD";"Sonstige";"dar. NPD";"dar. FREIE WÄHLER";"dar. dieBasis";"dar. BSW"
"1";2017;"Bund";"Summe";"Summe";"Summe";"46976341";"460849";"12447656";"9539381";"4297270";"4158400";"2869688";"4999449";"5878115";"2325533";"176066";"464239";NA;NA
"2";2017;"Bund";"Summe";"Summe";"1993 - 1999";"3353182";"24286";"663583";"612285";"346415";"487318";"170917";"439060";"265468";"343849";"16649";"33318";NA;NA
"3";2017;"Bund";"Summe";"Summe";"1983 - 1992";"5993615";"39143";"1275339";"1016312";"646288";"657846";"326327";"678235";"766719";"587405";"49314";"83281";NA;NA
"4";2017;"Bund";"Summe";"Summe";"1973 - 1982";"6202299";"41991";"1516837";"963346";"557390";"675217";"363279";"701452";"950302";"432486";"42165";"80856";NA;NA
"5";2017;"Bund";"Summe";"Summe";"1958 - 1972";"13930604";"103842";"3432497";"2748163";"1280351";"1451178";"770929";"1423887";"2089348";"630409";"46125";"157575";NA;NA
"6";2017;"Bund";"Summe";"Summe";"1948 - 1957";"7718834";"81226";"2072405";"1778599";"806643";"523148";"462139";"787959";"1007503";"199212";"13711";"63485";NA;NA
"7";2017;"Bund";"Summe";"Summe";"1947 und früher";"9777807";"170361";"3486994";"2420676";"660182";"363692";"776097";"968857";"798775";"132172";"8102";"45725";NA;NA
"8";2017;"Bund";"Summe";"m";"Summe";"22750777";"199896";"5301372";"4631885";"2184833";"1706076";"1278885";"2668154";"3675318";"1104357";"111643";"208538";NA;NA
"9";2017;"Bund";"Summe";"m";"1993 - 1999";"1685708";"13136";"298988";"303728";"174534";"191741";"79366";"279355";"166330";"178530";"10630";"15530";NA;NA
"10";2017;"Bund";"Summe";"m";"1983 - 1992";"2977206";"19491";"551318";"485585";"336629";"259939";"148409";"399701";"477570";"298564";"28974";"38006";NA;NA
"11";2017;"Bund";"Summe";"m";"1973 - 1982";"3076524";"19585";"664422";"453889";"285090";"280999";"165779";"386867";"602873";"217020";"27842";"38093";NA;NA
"12";2017;"Bund";"Summe";"m";"1958 - 1972";"6932426";"46935";"1543017";"1379708";"641654";"609076";"362044";"749492";"1323506";"276994";"29992";"71066";NA;NA
"13";2017;"Bund";"Summe";"m";"1948 - 1957";"3753438";"35031";"875725";"895816";"416566";"224670";"205480";"395045";"621250";"83853";"9243";"27416";NA;NA
"14";2017;"Bund";"Summe";"m";"1947 und früher";"4325476";"65718";"1367902";"1113160";"330359";"139651";"317808";"457693";"483790";"49396";"4963";"18427";NA;NA
"15";2017;"Bund";"Summe";"w";"Summe";"24225564";"260953";"7146284";"4907496";"2112437";"2452324";"1590803";"2331295";"2202797";"1221176";"64422";"255701";NA;NA
"16";2017;"Bund";"Summe";"w";"1993 - 1999";"1667474";"11150";"364595";"308557";"171881";"295577";"91551";"159705";"99138";"165319";"6019";"17788";NA;NA
"17";2017;"Bund";"Summe";"w";"1983 - 1992";"3016409";"19652";"724021";"530727";"309659";"397907";"177919";"278533";"289149";"288841";"20339";"45275";NA;NA
"18";2017;"Bund";"Summe";"w";"1973 - 1982";"3125775";"22406";"852415";"509458";"272300";"394218";"197500";"314585";"347428";"215466";"14323";"42763";NA;NA
"19";2017;"Bund";"Summe";"w";"1958 - 1972";"6998178";"56906";"1889481";"1368455";"638697";"842102";"408885";"674395";"765842";"353415";"16134";"86509";NA;NA
"20";2017;"Bund";"Summe";"w";"1948 - 1957";"3965396";"46195";"1196680";"882782";"390077";"298478";"256659";"392913";"386253";"115358";"4468";"36069";NA;NA
"21";2017;"Bund";"Summe";"w";"1947 und früher";"5452331";"104644";"2119092";"1307517";"329823";"224041";"458289";"511164";"314986";"82775";"3139";"27298";NA;NA
"22";2017;"Bund";"Urne";"Summe";"Summe";"33545873";"387566";"8715680";"6947478";"3222591";"2888879";"1740297";"3401498";"4597499";"1644385";"141813";"300635";NA;NA
"23";2017;"Bund";"Urne";"Summe";"1993 - 1999";"2515272";"20026";"484280";"483808";"270725";"346432";"107579";"323313";"219734";"259376";"13738";"22407";NA;NA
"24";2017;"Bund";"Urne";"Summe";"1983 - 1992";"4366135";"32518";"909536";"772696";"494039";"434730";"194410";"467323";"634077";"426805";"40830";"54951";NA;NA
"25";2017;"Bund";"Urne";"Summe";"1973 - 1982";"4800642";"36006";"1164856";"772800";"447817";"494349";"244556";"519352";"798852";"322054";"34653";"57524";NA;NA
"26";2017;"Bund";"Urne";"Summe";"1958 - 1972";"10293502";"87402";"2495036";"2090739";"988129";"1038374";"499279";"1008910";"1647125";"438507";"35933";"103007";NA;NA
"27";2017;"Bund";"Urne";"Summe";"1948 - 1957";"5272197";"66657";"1401919";"1230650";"579429";"342434";"275708";"500759";"750671";"123971";"11312";"38092";NA;NA
"28";2017;"Bund";"Urne";"Summe";"1947 und früher";"6298125";"144957";"2260054";"1596785";"442452";"232560";"418765";"581841";"547039";"73672";"5347";"24653";NA;NA
"29";2017;"Bund";"Urne";"m";"Summe";"16655043";"168310";"3793222";"3453674";"1666273";"1208595";"801308";"1837915";"2913032";"812716";"91543";"139166";NA;NA
"30";2017;"Bund";"Urne";"m";"1993 - 1999";"1314175";"10808";"228233";"248262";"140173";"143380";"51775";"210743";"139242";"141559";"8986";"10659";NA;NA
"31";2017;"Bund";"Urne";"m";"1983 - 1992";"2221168";"16436";"403095";"375387";"261135";"175845";"92200";"275444";"397382";"224245";"24519";"26132";NA;NA
