"";"Jahr";"Bezirksart";"Geschlecht";"Geburtsjahresgruppe";"Summe";"Ungültig";"CDU";"SPD";"DIE LINKE";"GRÜNE";"CSU";"FDP";"AfD";"Sonstige";"dar. NPD";"dar. FREIE WÄHLER";"dar. dieBasis";"dar. BSW"
"1";2017;"Summe";"Summe";"Summe";"46976341";"460849";"12447656";"9539381";"4297270";"4158400";"2869688";"4999449";"5878115";"2325533";"176066";"464239";"0";"0"
"2";2017;"Summe";"Summe";"1993 - 1999";"3353182";"24286";"663583";"612285";"346415";"487318";"170917";"439060";"265468";"343849";"16649";"33318";"0";"0"
"3";2017;"Summe";"Summe";"1983 - 1992";"5993615";"39143";"1275339";"1016312";"646288";"657846";"326327";"678235";"766719";"587405";"49314";"83281";"0";"0"
"4";2017;"Summe";"Summe";"1973 - 1982";"6202299";"41991";"1516837";"963346";"557390";"675217";"363279";"701452";"950302";"432486";"42165";"80856";"0";"0"
"5";2017;"Summe";"Summe";"1958 - 1972";"13930604";"103842";"3432497";"2748163";"1280351";"1451178";"770929";"1423887";"2089348";"630409";"46125";"157575";"0";"0"
"6";2017;"Summe";"Summe";"1948 - 1957";"7718834";"81226";"2072405";"1778599";"806643";"523148";"462139";"787959";"1007503";"199212";"13711";"63485";"0";"0"
"7";2017;"Summe";"Summe";"1947 und früher";"9777807";"170361";"3486994";"2420676";"660182";"363692";"776097";"968857";"798775";"132172";"8102";"45725";"0";"0"
"8";2017;"Summe";"m";"Summe";"22750777";"199896";"5301372";"4631885";"2184833";"1706076";"1278885";"2668154";"3675318";"1104357";"111643";"208538";"0";"0"
"9";2017;"Summe";"m";"1993 - 1999";"1685708";"13136";"298988";"303728";"174534";"191741";"79366";"279355";"166330";"178530";"10630";"15530";"0";"0"
"10";2017;"Summe";"m";"1983 - 1992";"2977206";"19491";"551318";"485585";"336629";"259939";"148409";"399701";"477570";"298564";"28974";"38006";"0";"0"
"11";2017;"Summe";"m";"1973 - 1982";"3076524";"19585";"664422";"453889";"285090";"280999";"165779";"386867";"602873";"217020";"27842";"38093";"0";"0"
"12";2017;"Summe";"m";"1958 - 1972";"6932426";"46935";"1543017";"1379708";"641654";"609076";"362044";"749492";"1323506";"276994";"29992";"71066";"0";"0"
"13";2017;"Summe";"m";"1948 - 1957";"3753438";"35031";"875725";"895816";"416566";"224670";"205480";"395045";"621250";"83853";"9243";"27416";"0";"0"
"14";2017;"Summe";"m";"1947 und früher";"4325476";"65718";"1367902";"1113160";"330359";"139651";"317808";"457693";"483790";"49396";"4963";"18427";"0";"0"
"15";2017;"Summe";"w";"Summe";"24225564";"260953";"7146284";"4907496";"2112437";"2452324";"1590803";"2331295";"2202797";"1221176";"64422";"255701";"0";"0"
"16";2017;"Summe";"w";"1993 - 1999";"1667474";"11150";"364595";"308557";"171881";"295577";"91551";"159705";"99138";"165319";"6019";"17788";"0";"0"
"17";2017;"Summe";"w";"1983 - 1992";"3016409";"19652";"724021";"530727";"309659";"397907";"177919";"278533";"289149";"288841";"20339";"45275";"0";"0"
"18";2017;"Summe";"w";"1973 - 1982";"3125775";"22406";"852415";"509458";"272300";"394218";"197500";"314585";"347428";"215466";"14323";"42763";"0";"0"
"19";2017;"Summe";"w";"1958 - 1972";"6998178";"56906";"1889481";"1368455";"638697";"842102";"408885";"674395";"765842";"353415";"16134";"86509";"0";"0"
"20";2017;"Summe";"w";"1948 - 1957";"3965396";"46195";"1196680";"882782";"390077";"298478";"256659";"392913";"386253";"115358";"4468";"36069";"0";"0"
"21";2017;"Summe";"w";"1947 und früher";"5452331";"104644";"2119092";"1307517";"329823";"224041";"458289";"511164";"314986";"82775";"3139";"27298";"0";"0"
"22";2021;"Summe";"Summe";"Summe";"46854508";"412485";"8775471";"11955434";"2270906";"6852206";"2402827";"5319952";"4803902";"4061325";"0";"1127784";"630153";"0"
"23";2021;"Summe";"Summe";"1997 - 2003";"3537017";"18961";"290701";"549841";"274030";"843443";"89447";"721093";"223374";"526127";"0";"85970";"39099";"0"
"24";2021;"Summe";"Summe";"1987 - 1996";"6046716";"34822";"615507";"1042617";"403724";"1384522";"198069";"895270";"598388";"873798";"0";"187784";"93218";"0"
"25";2021;"Summe";"Summe";"1977 - 1986";"6452983";"41351";"929919";"1235499";"309163";"1191683";"269000";"798092";"902897";"775380";"0";"207340";"133555";"0"
"26";2021;"Summe";"Summe";"1962 - 1976";"12584887";"86447";"2260334";"3181809";"513052";"1824104";"612997";"1410448";"1603713";"1091982";"0";"344792";"221194";"0"
"27";2021;"Summe";"Summe";"1952 - 1961";"8443359";"79624";"1712435";"2648659";"402897";"980200";"492160";"751705";"894856";"480823";"0";"178970";"95536";"0"
"28";2021;"Summe";"Summe";"1951 und früher";"9789547";"151280";"2966574";"3297010";"368041";"628254";"741154";"743345";"580674";"313215";"0";"122929";"47551";"0"
"29";2021;"Summe";"m";"Summe";"22744128";"173603";"4119661";"5524186";"1138075";"3043058";"1143921";"2891484";"2934311";"1775829";"0";"515155";"246316";"0"
"30";2021;"Summe";"m";"1997 - 2003";"1776863";"8301";"146961";"259093";"118589";"349476";"46231";"461427";"136389";"250396";"0";"42902";"17691";"0"
"31";2021;"Summe";"m";"1987 - 1996";"3027502";"16403";"301441";"487714";"210356";"604971";"98022";"534958";"357692";"415945";"0";"90510";"38925";"0"
"32";2021;"Summe";"m";"1977 - 1986";"3202675";"17791";"446850";"562621";"161271";"541116";"131569";"436058";"553939";"351461";"0";"96087";"53282";"0"
"33";2021;"Summe";"m";"1962 - 1976";"6238417";"37826";"1139980";"1490277";"255292";"818896";"305123";"735711";"1002934";"452377";"0";"156040";"86270";"0"
"34";2021;"Summe";"m";"1952 - 1961";"4144074";"35127";"813774";"1266654";"207803";"456809";"244697";"379882";"543019";"196310";"0";"83187";"35280";"0"
"35";2021;"Summe";"m";"1951 und früher";"4354597";"58154";"1270654";"1457827";"184765";"271790";"318279";"343447";"340339";"109341";"0";"46428";"14867";"0"
"36";2021;"Summe";"w";"Summe";"24110380";"238882";"4655810";"6431248";"1132831";"3809148";"1258906";"2428468";"1869591";"2285496";"0";"612629";"383837";"0"
"37";2021;"Summe";"w";"1997 - 2003";"1760154";"10660";"143740";"290748";"155441";"493967";"43216";"259666";"86985";"275732";"0";"43069";"21407";"0"
"38";2021;"Summe";"w";"1987 - 1996";"3019214";"18418";"314066";"554902";"193368";"779551";"100047";"360311";"240696";"457853";"0";"97273";"54293";"0"
"39";2021;"Summe";"w";"1977 - 1986";"3250308";"23560";"483069";"672878";"147891";"650567";"137431";"362034";"348958";"423919";"0";"111252";"80272";"0"
"40";2021;"Summe";"w";"1962 - 1976";"6346470";"48620";"1120354";"1691532";"257760";"1005209";"307874";"674737";"600779";"639605";"0";"188752";"134925";"0"
"41";2021;"Summe";"w";"1952 - 1961";"4299285";"44497";"898661";"1382005";"195094";"523390";"247464";"371823";"351838";"284514";"0";"95782";"60256";"0"
"42";2021;"Summe";"w";"1951 und früher";"5434950";"93126";"1695920";"1839182";"183276";"356464";"422875";"399898";"240335";"203874";"0";"76501";"32684";"0"
"43";2025;"Summe";"Summe";"Summe";"49928653";"279141";"11196374";"8149124";"4356532";"5762380";"2964028";"2148757";"10328780";"4743537";"0";"769279";"0";"2472947"
"44";2025;"Summe";"Summe";"2001-2007";"3363686";"12943";"334122";"377416";"916997";"391466";"101233";"187808";"637555";"404147";"0";"43776";"0";"189188"
"45";2025;"Summe";"Summe";"1991-2000";"6192862";"18184";"754620";"684775";"1081792";"986526";"242874";"319774";"1277145";"827172";"0";"115491";"0";"349459"
"46";2025;"Summe";"Summe";"1981-1990";"7493320";"28750";"1315709";"835720";"653504";"1086981";"378216";"304603";"2012279";"877558";"0";"134728";"0";"415647"
"47";2025;"Summe";"Summe";"1966-1980";"12047461";"51624";"2726874";"1645161";"711174";"1469682";"724045";"483675";"3081327";"1153897";"0";"207159";"0";"603039"
"48";2025;"Summe";"Summe";"1956-1965";"9778759";"56145";"2418517";"1880745";"494934";"1064167";"648987";"361818";"2046329";"807118";"0";"147610";"0";"480666"
"49";2025;"Summe";"Summe";"<=1955";"11052565";"111494";"3646533";"2725307";"498131";"763557";"868673";"491079";"1274145";"673646";"0";"120516";"0";"434947"
"50";2025;"Summe";"m";"Summe";"24338753";"120085";"5523667";"3606998";"1766093";"2585524";"1459520";"1169566";"6091800";"2015498";"0";"339527";"0";"1042821"
"51";2025;"Summe";"m";"2001-2007";"1694516";"7418";"201243";"188599";"298402";"186249";"60129";"125077";"425572";"201828";"0";"23715";"0";"89303"
"52";2025;"Summe";"m";"1991-2000";"3114025";"9915";"405381";"315740";"435316";"458329";"125397";"197680";"787341";"378927";"0";"55866";"0";"152428"
"53";2025;"Summe";"m";"1981-1990";"3772675";"13145";"672265";"370318";"287621";"500885";"192357";"169755";"1197479";"368850";"0";"61182";"0";"166531"
