"";"Wahlkreis-Nummer";"Wahlkreisname";"Land";"Wahlbezirksart";"Wahlberechtigte";"Wähler";"Ungültige - Zweitstimmen";"Gültige - Zweitstimmen";"SPD - Zweitstimmen";"CDU - Zweitstimmen";"GRÜNE - Zweitstimmen";"FDP - Zweitstimmen";"AfD - Zweitstimmen";"CSU - Zweitstimmen";"Die Linke - Zweitstimmen";"FREIE WÄHLER - Zweitstimmen";"Tierschutzpartei - Zweitstimmen";"dieBasis - Zweitstimmen";"Die PARTEI - Zweitstimmen";"Team Todenhöfer - Zweitstimmen";"PIRATEN - Zweitstimmen";"Volt - Zweitstimmen";"ÖDP - Zweitstimmen";"SSW - Zweitstimmen";"Verjüngungsforschung - Zweitstimmen";"PdH - Zweitstimmen";"Bündnis C - Zweitstimmen";"BP - Zweitstimmen";"MLPD - Zweitstimmen";"MENSCHLICHE WELT - Zweitstimmen";"PdF - Zweitstimmen";"SGP - Zweitstimmen";"BüSo - Zweitstimmen";"BÜNDNIS DEUTSCHLAND - Zweitstimmen";"BSW - Zweitstimmen";"MERA25 - Zweitstimmen";"WerteUnion - Zweitstimmen"
"1";1;"Flensburg – Schleswig";"Schleswig-Holstein";"Urne";232131;140527;836;139691;22069;33659;19884;5268;24689;0;11988;797;0;0;850;0;0;928;0;14779;0;0;0;0;39;0;0;0;0;247;4494;0;0
"2";2;"Nordfriesland – Dithmarschen Nord";"Schleswig-Holstein";"Urne";186019;109748;674;109074;18681;31532;11950;5387;19969;0;7092;768;0;0;738;0;0;663;0;8673;0;0;0;0;29;0;0;0;0;141;3451;0;0
"3";3;"Steinburg – Dithmarschen Süd";"Schleswig-Holstein";"Urne";175948;111377;698;110679;19045;31256;11247;5901;25066;0;7682;1029;0;0;879;0;0;849;0;3499;0;0;0;0;34;0;0;0;0;186;4006;0;0
"4";4;"Rendsburg-Eckernförde";"Schleswig-Holstein";"Urne";202649;126031;699;125332;22126;35314;16922;5798;22816;0;8525;664;0;0;808;0;0;650;0;7375;0;0;0;0;31;0;0;0;0;220;4083;0;0
"5";5;"Kiel";"Schleswig-Holstein";"Urne";201508;105864;704;105160;20384;19674;21715;4261;13958;0;15183;332;0;0;893;0;0;1074;0;3734;0;0;0;0;39;0;0;0;0;130;3783;0;0
"6";6;"Plön – Neumünster";"Schleswig-Holstein";"Urne";173740;105353;770;104583;19419;28643;13611;4523;21513;0;7674;804;0;0;707;0;0;733;0;2985;0;0;0;0;22;0;0;0;0;144;3805;0;0
"7";7;"Pinneberg";"Schleswig-Holstein";"Urne";236767;141174;809;140365;27449;38539;19095;7236;25384;0;11406;877;0;0;981;0;0;1288;0;2576;0;0;0;0;32;0;0;0;0;277;5225;0;0
"8";8;"Segeberg – Stormarn-Mitte";"Schleswig-Holstein";"Urne";249219;153579;881;152698;28384;42574;19213;8169;30117;0;11514;1112;0;0;1177;0;0;1388;0;2857;0;0;0;0;39;0;0;0;0;329;5825;0;0
"9";9;"Ostholstein – Stormarn-Nord";"Schleswig-Holstein";"Urne";181112;106704;629;106075;20580;31399;12374;5467;21592;0;6842;898;0;0;719;0;0;711;0;2035;0;0;0;0;32;0;0;0;0;147;3279;0;0
"10";10;"Herzogtum Lauenburg – Stormarn-Süd";"Schleswig-Holstein";"Urne";245473;149909;874;149035;27998;42343;19321;8128;29245;0;10918;1160;0;0;961;0;0;1244;0;1756;0;0;0;0;37;0;0;0;0;234;5690;0;0
"11";11;"Lübeck";"Schleswig-Holstein";"Urne";178245;95440;645;94795;19571;20651;14504;3819;17986;0;10405;641;0;0;736;0;0;881;0;1616;0;0;0;0;55;0;0;0;0;144;3786;0;0
"12";12;"Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I";"Mecklenburg-Vorpommern";"Urne";212978;123333;1189;122144;15888;21417;5858;4137;45229;0;13628;1318;1559;0;0;0;0;670;0;0;0;0;0;0;119;0;0;0;0;495;11826;0;0
"13";13;"Ludwigslust-Parchim II – Nordwestmecklenburg II – Landkreis Rostock I";"Mecklenburg-Vorpommern";"Urne";202532;116334;964;115370;14863;19570;4678;3513;45621;0;12059;1173;1510;0;0;0;0;604;0;0;0;0;0;0;66;0;0;0;0;297;11416;0;0
"14";14;"Rostock – Landkreis Rostock II";"Mecklenburg-Vorpommern";"Urne";221164;122763;933;121830;15887;19283;9322;4178;36704;0;20560;920;1784;0;0;0;0;944;0;0;0;0;0;0;173;0;0;0;0;374;11701;0;0
"15";15;"Vorpommern-Rügen – Vorpommern-Greifswald I";"Mecklenburg-Vorpommern";"Urne";237125;129064;1083;127981;11763;20554;6244;4310;52802;0;15356;1291;2494;0;0;0;0;736;0;0;0;0;0;0;83;0;0;0;0;334;12014;0;0
"16";16;"Mecklenburgische Seenplatte I – Vorpommern-Greifswald II ";"Mecklenburg-Vorpommern";"Urne";215874;121752;1214;120538;10396;18337;2866;3625;58267;0;10835;1061;1702;0;0;0;0;390;0;0;0;0;0;0;68;0;0;0;0;283;12708;0;0
"17";17;"Mecklenburgische Seenplatte II – Landkreis Rostock III";"Mecklenburg-Vorpommern";"Urne";205056;118404;1209;117195;11915;19015;3307;3396;52545;0;11510;1065;1373;0;0;0;0;377;0;0;0;0;0;0;62;0;0;0;0;528;12102;0;0
"18";18;"Hamburg-Mitte";"Hamburg";"Urne";243955;115350;875;114475;25396;16515;20182;4643;15102;0;22963;350;1044;0;648;0;0;1430;0;0;0;0;0;0;87;0;0;0;0;174;5941;0;0
"19";19;"Hamburg-Altona";"Hamburg";"Urne";188984;91276;511;90765;18587;15885;20222;4187;8588;0;17444;190;569;0;322;0;0;1007;0;0;0;0;0;0;68;0;0;0;0;91;3605;0;0
"20";20;"Hamburg-Eimsbüttel";"Hamburg";"Urne";194730;93688;471;93217;20757;17125;20742;4637;9081;0;14718;239;690;0;337;0;0;1181;0;0;0;0;0;0;43;0;0;0;0;124;3543;0;0
"21";21;"Hamburg-Nord";"Hamburg";"Urne";222169;106471;494;105977;23721;25021;21326;6250;11288;0;11906;263;793;0;338;0;0;1244;0;0;0;0;0;0;26;0;0;0;0;121;3680;0;0
"22";22;"Hamburg-Wandsbek";"Hamburg";"Urne";230501;108563;758;107805;25531;21804;14161;4442;18882;0;13646;464;1162;0;484;0;0;1302;0;0;0;0;0;0;56;0;0;0;0;175;5696;0;0
"23";23;"Hamburg-Bergedorf – Harburg";"Hamburg";"Urne";218950;107623;865;106758;23710;19421;11811;3528;22567;0;15982;473;1003;0;458;0;0;1220;0;0;0;0;0;0;66;0;0;0;0;183;6336;0;0
"24";24;"Aurich – Emden";"Niedersachsen";"Urne";189800;119126;879;118247;33113;26080;8787;3843;27727;0;9376;977;1819;288;488;0;178;404;0;0;0;46;0;0;26;0;0;0;0;128;4967;0;0
"25";25;"Unterems";"Niedersachsen";"Urne";237527;152937;892;152045;31789;49121;10058;6075;34854;0;10229;980;1463;412;639;0;198;456;0;0;0;63;0;0;20;0;0;0;0;176;5512;0;0
"26";26;"Friesland – Wilhelmshaven – Wittmund";"Niedersachsen";"Urne";185864;113563;744;112819;27833;28211;8682;4496;25635;0;8819;862;1626;425;611;0;175;502;0;0;0;90;0;0;40;0;0;0;0;158;4654;0;0
"27";27;"Oldenburg – Ammerland";"Niedersachsen";"Urne";229344;144141;714;143427;33339;33317;22221;6275;21194;0;16639;669;1459;253;701;0;221;1149;0;0;0;125;0;0;41;0;0;0;0;153;5671;0;0
"28";28;"Delmenhorst – Wesermarsch – Oldenburg-Land";"Niedersachsen";"Urne";225017;144535;862;143673;32941;36143;13337;7039;31318;0;11092;1388;1812;310;662;0;231;782;0;0;0;96;0;0;21;0;0;0;0;264;6237;0;0
"29";29;"Cuxhaven – Stade II";"Niedersachsen";"Urne";187074;118159;690;117469;27015;33993;9697;4471;26226;0;7400;825;1490;398;477;0;174;690;0;0;0;48;0;0;20;0;0;0;0;143;4402;0;0
"30";30;"Stade I – Rotenburg II";"Niedersachsen";"Urne";197893;124921;644;124277;25871;37433;12450;5138;25741;0;9194;810;1238;339;625;0;200;809;0;0;0;84;0;0;18;0;0;0;0;172;4155;0;0
"31";31;"Mittelems";"Niedersachsen";"Urne";233785;157423;820;156603;32665;61133;12460;7151;24523;0;10138;927;1178;247;574;0;177;492;0;0;0;64;0;0;12;0;0;0;0;219;4643;0;0
