"";"Jahr";"Land";"Wahlbezirksart";"sum(Wähler)";"sum(Ungültige)";"sum(Gültige)";"CDU_CSU";"sum(SPD)";"sum(`DIE LINKE`)";"sum(GRÜNE)";"sum(FDP)";"sum(AfD)"
"1";2017;"Baden-Württemberg";"Brief";1644374;7901;1636473;596713;250365;93456;239651;223417;160615
"2";2017;"Baden-Württemberg";"Urne";4409569;53074;4356495;1464974;732005;287271;567554;538591;569884
"3";2017;"Bayern";"Brief";2773317;10055;2763262;1129391;396167;144076;269557;300509;295870
"4";2017;"Bayern";"Urne";4667689;37741;4629948;1740297;734764;306727;452559;450739;620430
"5";2017;"Berlin";"Brief";631774;5058;626716;163789;109613;108059;82485;64149;56681
"6";2017;"Berlin";"Urne";1260360;18034;1242326;260532;224640;243111;152462;102897;168489
"7";2017;"Brandenburg";"Brief";325299;2501;322798;92342;57226;57100;19761;25754;49548
"8";2017;"Brandenburg";"Urne";1186846;18813;1168033;305497;204596;198621;55210;79731;251555
"9";2017;"Bremen";"Brief";84763;449;84314;24722;20904;10007;10127;9551;5845
"10";2017;"Bremen";"Urne";251156;3147;248009;58687;68040;34622;26606;21505;27399
"11";2017;"Hamburg";"Brief";364213;1631;362582;114001;80561;36419;48390;44615;22583
"12";2017;"Hamburg";"Urne";620713;5177;615536;152311;149301;82657;87981;60995;53928
"13";2017;"Hessen";"Brief";906909;7939;898970;306950;199302;62488;89291;117126;85694
"14";2017;"Hessen";"Urne";2488532;38602;2449930;726250;589125;208670;234445;269616;313018
"15";2017;"Mecklenburg-Vorpommern";"Brief";224762;1411;223351;80920;33292;42328;11600;14939;29940
"16";2017;"Mecklenburg-Vorpommern";"Urne";713825;9666;704159;226343;106397;123040;27914;42956;142469
"17";2017;"Niedersachsen";"Brief";1032318;4480;1027838;386771;262053;62839;98818;106668;73657
"18";2017;"Niedersachsen";"Urne";3649553;30415;3619138;1236710;1013119;260140;306007;324737;348705
"19";2017;"Nordrhein-Westfalen";"Brief";3057487;14405;3043082;1126794;743068;190268;224688;446947;210206
"20";2017;"Nordrhein-Westfalen";"Urne";6880974;70679;6810295;2087219;1814808;546636;520282;846105;718219
"21";2017;"Rheinland-Pfalz";"Brief";831545;6587;824958;330049;190486;46624;60815;90089;73821
"22";2017;"Rheinland-Pfalz";"Urne";1560548;23000;1537548;517954;380032;114288;118418;155146;191867
"23";2017;"Saarland";"Brief";154369;2055;152314;58035;40616;15527;8454;12175;12167
"24";2017;"Saarland";"Urne";441042;8098;432944;131538;118279;59921;26663;32302;46753
"25";2017;"Sachsen";"Brief";529395;3445;525950;155910;58311;91437;32207;47487;104954
"26";2017;"Sachsen";"Urne";1980289;26835;1953454;509841;202794;307190;81401;156175;564986
"27";2017;"Sachsen-Anhalt";"Brief";225955;1640;224315;74406;34075;42070;11314;19507;30557
"28";2017;"Sachsen-Anhalt";"Urne";1037519;16854;1020665;303005;154905;178788;34929;77048;213844
"29";2017;"Schleswig-Holstein";"Brief";381763;1719;380044;139479;80667;24177;48133;53446;24626
"30";2017;"Schleswig-Holstein";"Urne";1347431;11834;1335597;443656;318838;100501;157338;163398;115736
"31";2017;"Thüringen";"Brief";262225;2007;260218;81095;35197;47804;14230;21572;43852
"32";2017;"Thüringen";"Urne";1049827;15597;1034230;291163;135835;170408;39110;79557;250217
