"";"Jahr";"Wahlkreis-Nr.";"Wahlbezirksart";"Wahlkreisname";"Wähler";"Ungültige";"CDU";"CSU";"SPD";"LINKE";"GRÜNE";"FDP";"AFD";"meistgewählt";"pct"
"1";2017;1;"Brief";"Flensburg – Schleswig";34480;138;12663;0;7086;2447;4846;4426;1929;1;36,7
"2";2017;1;"Urne";"Flensburg – Schleswig";137434;1311;45657;0;33302;11555;17458;14529;9724;1;33,2
"3";2017;2;"Brief";"Nordfriesland – Dithmarschen Nord";28737;119;11185;0;5792;1703;3370;4179;1659;1;38,9
"4";2017;2;"Urne";"Nordfriesland – Dithmarschen Nord";110457;1004;41743;0;25328;6886;11774;13871;7371;1;37,8
"5";2017;3;"Brief";"Steinburg – Dithmarschen Süd";23952;93;9095;0;4896;1489;2602;3493;1680;1;38
"6";2017;3;"Urne";"Steinburg – Dithmarschen Süd";108065;1046;38271;0;24860;7243;10358;13805;9500;1;35,4
"7";2017;4;"Brief";"Rendsburg-Eckernförde";31866;122;12249;0;6451;1756;4235;4286;2024;1;38,4
"8";2017;4;"Urne";"Rendsburg-Eckernförde";125488;965;44336;0;29315;8206;15102;14785;9554;1;35,3
"9";2017;5;"Brief";"Kiel";40874;163;12502;0;8615;3627;7341;5352;2027;1;30,6
"10";2017;5;"Urne";"Kiel";112399;1041;28234;0;27593;11919;18802;12452;8477;1;25,1
"11";2017;6;"Brief";"Plön – Neumünster";26540;128;9670;0;5717;1466;3500;3742;1771;1;36,4
"12";2017;6;"Urne";"Plön – Neumünster";105173;1071;34108;0;25296;7037;12850;12739;9390;1;32,4
"13";2017;7;"Brief";"Pinneberg";45313;261;17128;0;9814;2594;4958;6576;2964;1;37,8
"14";2017;7;"Urne";"Pinneberg";142402;1082;46735;0;32915;10517;16378;18159;13013;1;32,8
"15";2017;8;"Brief";"Segeberg – Stormarn-Mitte";42554;165;15950;0;9075;2539;4719;6144;2869;1;37,5
"16";2017;8;"Urne";"Segeberg – Stormarn-Mitte";150726;1170;50417;0;33952;10698;16291;19899;14297;1;33,4
"17";2017;9;"Brief";"Ostholstein – Stormarn-Nord";29947;151;11578;0;6408;1482;3113;4479;2124;1;38,7
"18";2017;9;"Urne";"Ostholstein – Stormarn-Nord";108492;993;37320;0;27356;6821;10380;13668;9658;1;34,4
"19";2017;10;"Brief";"Herzogtum Lauenburg – Stormarn-Süd";44689;184;16707;0;9247;2369;4850;6816;3447;1;37,4
"20";2017;10;"Urne";"Herzogtum Lauenburg – Stormarn-Süd";148645;1179;49324;0;33568;10111;15976;19347;15345;1;33,2
"21";2017;11;"Brief";"Lübeck";32811;195;10752;0;7566;2705;4599;3953;2132;1;32,8
"22";2017;11;"Urne";"Lübeck";98150;972;27511;0;25353;9508;11969;10144;9407;1;28
"23";2017;12;"Brief";"Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I";36775;242;13246;0;6753;6473;1795;2441;4249;1;36
"24";2017;12;"Urne";"Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I";120296;1418;37837;0;22194;19456;4811;7438;21443;1;31,5
"25";2017;13;"Brief";"Ludwigslust-Parchim II – Nordwestmecklenburg II – Landkreis Rostock I";32517;148;12301;0;5260;5553;1450;2132;4298;1;37,8
"26";2017;13;"Urne";"Ludwigslust-Parchim II – Nordwestmecklenburg II – Landkreis Rostock I";114251;1509;36540;0;19769;18856;4071;6876;21390;1;32
"27";2017;14;"Brief";"Rostock – Landkreis Rostock II";43391;223;14342;0;6734;9218;3215;3018;4559;1;33,1
"28";2017;14;"Urne";"Rostock – Landkreis Rostock II";120625;1471;35091;0;18916;24357;7014;7643;20612;1;29,1
"29";2017;15;"Brief";"Vorpommern-Rügen – Vorpommern-Greifswald I";42867;278;14919;0;5330;8119;2816;3165;6049;1;34,8
"30";2017;15;"Urne";"Vorpommern-Rügen – Vorpommern-Greifswald I";126661;1838;40191;0;15075;21988;5682;8325;26832;1;31,7
"31";2017;16;"Brief";"Mecklenburgische Seenplatte I – Vorpommern-Greifswald II";35700;274;12991;0;4553;6901;1041;2136;6141;1;36,4
"32";2017;16;"Urne";"Mecklenburgische Seenplatte I – Vorpommern-Greifswald II";121265;1878;38798;0;14511;20345;3027;6523;29454;1;32
"33";2017;17;"Brief";"Mecklenburgische Seenplatte II – Landkreis Rostock III";33512;246;13121;0;4662;6064;1283;2047;4644;1;39,2
"34";2017;17;"Urne";"Mecklenburgische Seenplatte II – Landkreis Rostock III";110727;1552;37886;0;15932;18038;3309;6151;22738;1;34,2
"35";2017;18;"Brief";"Hamburg-Mitte";61583;310;16653;0;13550;7789;9103;6533;3865;1;27
"36";2017;18;"Urne";"Hamburg-Mitte";114148;1128;24256;0;28001;18320;16061;9722;10075;3;24,5
"37";2017;19;"Brief";"Hamburg-Altona";56445;194;16397;0;10707;7262;9618;7364;2540;1;29
"38";2017;19;"Urne";"Hamburg-Altona";89645;670;19742;0;18973;15504;16418;8942;5488;1;22
"39";2017;20;"Brief";"Hamburg-Eimsbüttel";61937;232;19284;0;12794;6391;9674;7913;3118;1;31,1
"40";2017;20;"Urne";"Hamburg-Eimsbüttel";94076;578;22542;0;21781;12899;16698;9550;6020;1;24
"41";2017;21;"Brief";"Hamburg-Nord";72504;280;25594;0;14673;5549;9272;10991;3776;1;35,3
"42";2017;21;"Urne";"Hamburg-Nord";106256;606;30143;0;23477;11171;16312;13661;7187;1;28,4
"43";2017;22;"Brief";"Hamburg-Wandsbek";62301;293;20480;0;16010;4925;6032;7073;4946;1;32,9
"44";2017;22;"Urne";"Hamburg-Wandsbek";110273;980;29002;0;29532;11922;11741;10548;11786;3;26,8
"45";2017;23;"Brief";"Hamburg-Bergedorf – Harburg";49443;322;15593;0;12827;4503;4691;4741;4338;1;31,5
"46";2017;23;"Urne";"Hamburg-Bergedorf – Harburg";106315;1215;26626;0;27537;12841;10751;8572;13372;3;25,9
"47";2017;24;"Brief";"Aurich – Emden";26363;157;8521;0;8405;1728;2340;2271;2050;1;32,3
"48";2017;24;"Urne";"Aurich – Emden";116313;1448;31031;0;44948;8414;8163;7808;10827;3;38,6
"49";2017;25;"Brief";"Unterems";30258;138;12697;0;7852;1516;2167;2696;2325;1;42
"50";2017;25;"Urne";"Unterems";146084;1252;61476;0;40342;7943;8091;10933;12295;1;42,1
"51";2017;26;"Brief";"Friesland – Wilhelmshaven – Wittmund";31298;208;11244;0;8725;1882;2323;3392;2411;1;35,9
"52";2017;26;"Urne";"Friesland – Wilhelmshaven – Wittmund";107855;1349;33854;0;33482;7856;7661;9566;10079;1;31,4
"53";2017;27;"Brief";"Oldenburg – Ammerland";39963;159;13210;0;9591;3202;5443;4563;2274;1;33,1
"54";2017;27;"Urne";"Oldenburg – Ammerland";136004;1127;40207;0;35923;13149;16378;13573;10351;1;29,6
"55";2017;28;"Brief";"Delmenhorst – Wesermarsch – Oldenburg-Land";32396;154;11697;0;8578;1882;2865;3662;2381;1;36,1
"56";2017;28;"Urne";"Delmenhorst – Wesermarsch – Oldenburg-Land";137798;1221;44829;0;39044;9685;10660;13414;14011;1;32,5
"57";2017;29;"Brief";"Cuxhaven – Stade II";27694;118;11214;0;7001;1674;2100;2454;2170;1;40,5
"58";2017;29;"Urne";"Cuxhaven – Stade II";114032;889;42949;0;31922;7447;7609;9029;10480;1;37,7
"59";2017;30;"Brief";"Stade I – Rotenburg II";33437;118;13361;0;7846;1921;3080;3468;2456;1;40
"60";2017;30;"Urne";"Stade I – Rotenburg II";119607;731;45868;0;29515;7643;9431;11070;11057;1;38,3
"61";2017;31;"Brief";"Mittelems";29025;80;14404;0;6245;1302;2062;2893;1347;1;49,6
"62";2017;31;"Urne";"Mittelems";150786;879;73906;0;35738;6865;8741;13288;8354;1;49
"63";2017;32;"Brief";"Cloppenburg – Vechta";27604;108;15219;0;4642;1011;1582;2869;1526;1;55,1
"64";2017;32;"Urne";"Cloppenburg – Vechta";136065;1045;71082;0;24228;6134;6625;12429;11619;1;52,2
"65";2017;33;"Brief";"Diepholz – Nienburg I";30351;103;12046;0;7280;1665;2522;3518;2190;1;39,7
"66";2017;33;"Urne";"Diepholz – Nienburg I";117947;917;43787;0;30225;7286;9470;11997;10244;1;37,1
"67";2017;34;"Brief";"Osterholz – Verden";30827;116;11750;0;7646;1964;3095;3036;2163;1;38,1
"68";2017;34;"Urne";"Osterholz – Verden";122209;1122;41285;0;32401;9091;10957;10428;12512;1;33,8
"69";2017;35;"Brief";"Rotenburg I – Heidekreis";24390;114;9533;0;6175;1271;2143;2306;1888;1;39,1
"70";2017;35;"Urne";"Rotenburg I – Heidekreis";102681;853;38025;0;28036;6151;7925;8393;9783;1;37
"71";2017;36;"Brief";"Harburg";40001;171;15531;0;8215;2208;3874;5053;3383;1;38,8
"72";2017;36;"Urne";"Harburg";121836;811;42284;0;27162;7909;12536;13786;12664;1;34,7
"73";2017;37;"Brief";"Lüchow-Dannenberg – Lüneburg";34716;138;11582;0;7608;2967;5159;3317;2316;1;33,4
"74";2017;37;"Urne";"Lüchow-Dannenberg – Lüneburg";106284;723;32279;0;25257;9738;13747;9642;10182;1;30,4
"75";2017;38;"Brief";"Osnabrück-Land";30810;123;13493;0;7228;1577;2640;3224;1687;1;43,8
"76";2017;38;"Urne";"Osnabrück-Land";120492;984;47244;0;31301;7579;9706;11379;9253;1;39,2
"77";2017;39;"Brief";"Stadt Osnabrück";35980;100;14187;0;7730;2656;4753;3764;1552;1;39,4
"78";2017;39;"Urne";"Stadt Osnabrück";116127;838;39790;0;29606;10103;13600;10545;7947;1;34,3
"79";2017;40;"Brief";"Nienburg II – Schaumburg";32068;131;11910;0;9076;1546;2670;3045;2614;1;37,1
"80";2017;40;"Urne";"Nienburg II – Schaumburg";114605;888;37986;0;34231;6743;9161;9385;12331;1;33,1
"81";2017;41;"Brief";"Stadt Hannover I";34103;153;10797;0;8561;2516;4459;4058;2140;1;31,7
"82";2017;41;"Urne";"Stadt Hannover I";100702;803;25604;0;28084;9954;11833;9600;10086;3;27,9
"83";2017;42;"Brief";"Stadt Hannover II";39263;148;11182;0;9087;3839;6245;4492;2207;1;28,5
"84";2017;42;"Urne";"Stadt Hannover II";109768;792;25021;0;28877;13984;15834;10243;9034;3;26,3
"85";2017;43;"Brief";"Hannover-Land I";42767;169;16699;0;10653;2028;3389;5088;3448;1;39
"86";2017;43;"Urne";"Hannover-Land I";138883;1105;46129;0;38130;8862;10946;13781;14918;1;33,2
"87";2017;44;"Brief";"Celle – Uelzen";35738;141;14148;0;8456;1747;3012;3921;3144;1;39,6
"88";2017;44;"Urne";"Celle – Uelzen";126407;998;44710;0;32443;7550;9466;12413;14410;1;35,4
"89";2017;45;"Brief";"Gifhorn – Peine";32366;142;12177;0;9281;1674;2410;3000;2568;1;37,6
"90";2017;45;"Urne";"Gifhorn – Peine";136495;1146;44390;0;41164;8492;9684;11004;15721;1;32,5
"91";2017;46;"Brief";"Hameln-Pyrmont – Holzminden";35534;204;12850;0;10525;1901;2627;3419;2898;1;36,2
"92";2017;46;"Urne";"Hameln-Pyrmont – Holzminden";104246;903;31574;0;33665;7229;7368;9112;11156;3;32,3
"93";2017;47;"Brief";"Hannover-Land II";44682;189;16078;0;12685;2389;3750;4582;3542;1;36
"94";2017;47;"Urne";"Hannover-Land II";143813;1290;42906;0;42476;9916;12540;13343;15850;1;29,8
"95";2017;48;"Brief";"Hildesheim";40047;175;14674;0;11105;2250;3854;3669;2894;1;36,6
"96";2017;48;"Urne";"Hildesheim";129566;1141;40197;0;40972;8682;10952;10207;12801;3;31,6
"97";2017;49;"Brief";"Salzgitter – Wolfenbüttel";33688;178;11794;0;10038;1909;2412;3039;3111;1;35
"98";2017;49;"Urne";"Salzgitter – Wolfenbüttel";123358;1149;34191;0;40444;9357;7801;9411;16004;3;32,8
"99";2017;50;"Brief";"Braunschweig";43961;206;14455;0;10725;3415;5343;4901;2745;1;32,9
"100";2017;50;"Urne";"Braunschweig";103751;849;28079;0;27970;10258;11952;9783;9523;1;27,1
"101";2017;51;"Brief";"Helmstedt – Wolfsburg";31504;162;12197;0;8913;1756;2015;2791;2568;1;38,7
"102";2017;51;"Urne";"Helmstedt – Wolfsburg";105799;1129;34840;0;31827;7294;6049;8197;12294;1;32,9
"103";2017;52;"Brief";"Goslar – Northeim – Osterode";35569;172;12899;0;10559;1895;2497;3451;2934;1;36,3
"104";2017;52;"Urne";"Goslar – Northeim – Osterode";115408;1015;35232;0;37457;7626;7432;10283;12198;3;32,5
"105";2017;53;"Brief";"Göttingen";45915;205;15222;0;11622;3548;5987;4726;2725;1;33,2
"106";2017;53;"Urne";"Göttingen";124632;1018;35955;0;36249;11200;13689;10695;10721;3;29,1
"107";2017;54;"Brief";"Bremen I";52676;255;15718;0;11981;6552;6953;6352;3020;1;29,8
"108";2017;54;"Urne";"Bremen I";135388;1433;32740;0;33748;19873;16615;12786;12519;3;24,9
"109";2017;55;"Brief";"Bremen II – Bremerhaven";32087;194;9004;0;8923;3455;3174;3199;2825;1;28,1
"110";2017;55;"Urne";"Bremen II – Bremerhaven";115768;1714;25947;0;34292;14749;9991;8719;14880;3;29,6
"111";2017;56;"Brief";"Prignitz – Ostprignitz-Ruppin – Havelland I";20957;148;6647;0;4309;3538;983;1352;2889;1;31,7
"112";2017;56;"Urne";"Prignitz – Ostprignitz-Ruppin – Havelland I";99271;1672;28568;0;20575;15909;3248;5203;19294;1;28,8
"113";2017;57;"Brief";"Uckermark – Barnim I";26257;182;7654;0;4332;5214;1366;1593;4112;1;29,2
"114";2017;57;"Urne";"Uckermark – Barnim I";103613;1675;28506;0;17318;18656;3821;5428;22493;1;27,5
"115";2017;58;"Brief";"Oberhavel – Havelland II";42903;353;13176;0;8271;5858;3063;3606;6067;1;30,7
"116";2017;58;"Urne";"Oberhavel – Havelland II";142109;2049;38792;0;25585;20233;8621;10306;27920;1;27,3
"117";2017;59;"Brief";"Märkisch-Oderland – Barnim II";36915;279;9871;0;5732;8056;1902;2504;5847;1;26,7
"118";2017;59;"Urne";"Märkisch-Oderland – Barnim II";133124;2064;32242;0;20176;26576;5898;8503;28854;1;24,2
"119";2017;60;"Brief";"Brandenburg an der Havel – Potsdam-Mittelmark I – Havelland III – Teltow-Fläming I";24124;207;7266;0;4900;4047;1170;1804;3270;1;30,1
"120";2017;60;"Urne";"Brandenburg an der Havel – Potsdam-Mittelmark I – Havelland III – Teltow-Fläming I";103934;1706;28290;0;21155;16878;4068;6390;19363;1;27,2
"121";2017;61;"Brief";"Potsdam – Potsdam-Mittelmark II – Teltow-Fläming II";54123;357;14419;0;9931;9420;5786;5357;5609;1;26,6
"122";2017;61;"Urne";"Potsdam – Potsdam-Mittelmark II – Teltow-Fläming II";141679;1576;33596;0;25842;25686;13293;12411;20524;1;23,7
"123";2017;62;"Brief";"Dahme-Spreewald – Teltow-Fläming III – Oberspreewald-Lausitz I";40561;293;11759;0;6990;6790;2181;3223;6572;1;29
"124";2017;62;"Urne";"Dahme-Spreewald – Teltow-Fläming III – Oberspreewald-Lausitz I";147046;2404;38223;0;25575;22427;6436;10495;32343;1;26
"125";2017;63;"Brief";"Frankfurt (Oder) – Oder-Spree";29388;217;7695;0;4956;5780;1486;2171;4999;1;26,2
"126";2017;63;"Urne";"Frankfurt (Oder) – Oder-Spree";110663;1836;26193;0;17746;20422;4410;7070;25478;1;23,7
"127";2017;64;"Brief";"Cottbus – Spree-Neiße";29560;291;7902;0;4529;5096;1176;2520;6103;1;26,7
"128";2017;64;"Urne";"Cottbus – Spree-Neiße";102553;1794;23464;0;15200;16360;2917;7421;28802;7;28,1
"129";2017;65;"Brief";"Elbe-Elster – Oberspreewald-Lausitz II";20511;174;5953;0;3276;3301;648;1624;4080;1;29
"130";2017;65;"Urne";"Elbe-Elster – Oberspreewald-Lausitz II";102854;2037;27623;0;15424;15474;2498;6504;26484;1;26,9
"131";2017;66;"Brief";"Altmark";16630;96;5791;0;2781;3096;754;1308;2032;1;34,8
"132";2017;66;"Urne";"Altmark";94563;1234;30231;0;15940;17250;2894;6530;16387;1;32
"133";2017;67;"Brief";"Börde – Jerichower Land";23395;168;8166;0;3575;4008;833;2088;3261;1;34,9
"134";2017;67;"Urne";"Börde – Jerichower Land";127104;2243;39400;0;20478;20547;3403;9325;24644;1;31
"135";2017;68;"Brief";"Harz";24999;216;9114;0;4078;4501;1073;1857;3022;1;36,5
"136";2017;68;"Urne";"Harz";118568;1820;38460;0;18837;20568;3895;8045;20838;1;32,4
"137";2017;69;"Brief";"Magdeburg";36131;219;10988;0;6100;6884;2517;3294;3668;1;30,4
"138";2017;69;"Urne";"Magdeburg";126763;1898;33628;0;21413;23172;6047;9419;22383;1;26,5
"139";2017;70;"Brief";"Dessau – Wittenberg";21029;144;7333;0;2931;3872;948;1699;3012;1;34,9
"140";2017;70;"Urne";"Dessau – Wittenberg";102437;1578;31418;0;14429;17230;3351;7241;21315;1;30,7
"141";2017;71;"Brief";"Anhalt";22173;168;7844;0;2981;4101;633;1859;3485;1;35,4
"142";2017;71;"Urne";"Anhalt";125773;2239;36776;0;17308;21786;2822;8989;28864;1;29,2
"143";2017;72;"Brief";"Halle";35197;254;10080;0;5070;7257;3142;3328;3893;1;28,6
"144";2017;72;"Urne";"Halle";117270;1919;29753;0;16126;21635;7315;10205;22834;1;25,4
"145";2017;73;"Brief";"Burgenland – Saalekreis";23236;193;7783;0;3155;3991;741;2003;4137;1;33,5
"146";2017;73;"Urne";"Burgenland – Saalekreis";107983;1814;30895;0;13943;17051;2625;8129;27644;1;28,6
"147";2017;74;"Brief";"Mansfeld";23165;182;7307;0;3404;4360;673;2071;4047;1;31,5
"148";2017;74;"Urne";"Mansfeld";117058;2109;32444;0;16431;19549;2577;9165;28935;1;27,7
"149";2017;75;"Brief";"Berlin-Mitte";51038;348;10766;0;8434;10009;9247;5333;3288;1;21,1
"150";2017;75;"Urne";"Berlin-Mitte";100374;1621;17095;0;18354;22109;16461;7639;9001;4;22
"151";2017;76;"Brief";"Berlin-Pankow";61545;402;13521;0;9578;13978;9178;4540;5511;4;22,7
"152";2017;76;"Urne";"Berlin-Pankow";126954;1445;23473;0;19607;29796;17473;7781;17804;4;23,5
"153";2017;77;"Brief";"Berlin-Reinickendorf";43751;454;15620;0;8297;2922;3847;5326;4819;1;35,7
"154";2017;77;"Urne";"Berlin-Reinickendorf";93489;1681;26292;0;18774;8594;8458;10050;13694;1;28,1
"155";2017;78;"Brief";"Berlin-Spandau – Charlottenburg Nord";40567;470;13280;0;8973;3089;3392;4544;4291;1;32,7
"156";2017;78;"Urne";"Berlin-Spandau – Charlottenburg Nord";92442;1792;23432;0;20760;9691;7671;8383;14190;1;25,3
"157";2017;79;"Brief";"Berlin-Steglitz-Zehlendorf";72655;612;24623;0;13270;5299;9296;10997;5465;1;33,9
"158";2017;79;"Urne";"Berlin-Steglitz-Zehlendorf";108065;1151;28658;0;21009;11053;16065;14464;10359;1;26,5
