"";"Jahr";"WKR_NR";"WKR_NAME";"LAND_NR";"LAND_NAME";"Wahlbezirksart";"Wahlkreisname";"Wähler";"Ungültige";"CDU";"CSU";"SPD";"LINKE";"GRÜNE";"FDP";"AFD";"meistgewählt";"pct";"geometry";"ref_value";"winner_abzz";"Land";"Geschlecht";"Geburtsjahresgruppe";"Summe";"Ungültig";"AfD";"DIE LINKE";"Sonstige";"dar. FREIE WÄHLER";"dar. dieBasis";"dar. BSW"
"1";2017;"0";"0";"0";0;0;0;0;0;300217;79817;305590;0;192427;280317;0;0;0;0;0;0;0;0;0;1694779;13189;167573;176106;179542;15757;0;0
"2";2017;"0";"0";"0";0;0;0;0;0;555205;146982;490462;0;263648;403389;0;0;0;0;0;0;0;0;0;3001418;19674;480174;342655;299229;37952;0;0
"3";2017;"0";"0";"0";0;0;0;0;0;665699;165918;456033;0;281653;387886;0;0;0;0;0;0;0;0;0;3089525;19901;604999;289045;218392;38216;0;0
"4";2017;"0";"0";"0";0;0;0;0;0;1538881;363559;1379820;0;607369;748468;0;0;0;0;0;0;0;0;0;6930258;47053;1324465;643130;277513;71178;0;0
"5";2017;"0";"0";"0";0;0;0;0;0;874612;206169;893330;0;223251;392710;0;0;0;0;0;0;0;0;0;3741274;34896;619595;413595;83114;27586;0;0
"6";2017;"0";"0";"0";0;0;0;0;0;1364615;318037;1108252;0;137652;454115;0;0;0;0;0;0;0;0;0;4300726;65480;479397;324971;48208;18081;0;0
"7";2017;"0";"0";"0";0;0;0;0;0;365388;91751;309981;0;295852;160954;0;0;0;0;0;0;0;0;0;1674861;11114;99385;173620;166817;18106;0;0
"8";2017;"0";"0";"0";0;0;0;0;0;730985;175609;534780;0;402395;280004;0;0;0;0;0;0;0;0;0;3038245;20091;290646;314301;289433;45244;0;0
"9";2017;"0";"0";"0";0;0;0;0;0;852980;197785;511405;0;396113;317016;0;0;0;0;0;0;0;0;0;3137743;22593;348561;274576;216713;42681;0;0
"10";2017;"0";"0";"0";0;0;0;0;0;1886153;409843;1366793;0;840244;674193;0;0;0;0;0;0;0;0;0;6987768;56535;766374;636091;351544;86059;0;0
"11";2017;"0";"0";"0";0;0;0;0;0;1192816;256495;882361;0;295750;392194;0;0;0;0;0;0;0;0;0;3951857;45878;385337;386863;114163;35673;0;0
"12";2017;"0";"0";"0";0;0;0;0;0;2120104;457722;1300575;0;222047;508202;0;0;0;0;0;0;0;0;0;5427886;104446;311609;322319;80864;26758;0;0
"13";2017;"0";"0";"0";0;0;0;0;0;14772;0;12158;0;8011;11296;0;0;0;0;0;0;0;0;0;61452;218;3938;5824;5234;495;0;0
"14";2017;"0";"0";"0";0;0;0;0;0;23516;0;17857;0;10695;12693;0;0;0;0;0;0;0;0;0;93339;500;11392;9502;7184;1059;0;0
"15";2017;"0";"0";"0";0;0;0;0;0;30915;0;19039;0;10707;15017;0;0;0;0;0;0;0;0;0;106276;604;15710;9598;4685;1289;0;0
"16";2017;"0";"0";"0";0;0;0;0;0;74056;0;58646;0;30554;33660;0;0;0;0;0;0;0;0;0;254488;1191;32568;18492;5320;1270;0;0
"17";2017;"0";"0";"0";0;0;0;0;0;39885;0;40177;0;13711;17729;0;0;0;0;0;0;0;0;0;141500;866;13932;14150;1049;389;0;0
"18";2017;"0";"0";"0";0;0;0;0;0;72054;0;47867;0;9132;25409;0;0;0;0;0;0;0;0;0;178142;2190;13159;7691;640;224;0;0
"19";2017;"0";"0";"0";0;0;0;0;0;17455;0;12341;0;13054;6992;0;0;0;0;0;0;0;0;0;60845;426;2259;5006;3312;554;0;0
"20";2017;"0";"0";"0";0;0;0;0;0;29903;0;20578;0;14978;8967;0;0;0;0;0;0;0;0;0;94810;595;6138;9231;4420;968;0;0
"21";2017;"0";"0";"0";0;0;0;0;0;43201;0;22566;0;16443;12534;0;0;0;0;0;0;0;0;0;117259;729;7293;9702;4792;1440;0;0
"22";2017;"0";"0";"0";0;0;0;0;0;89830;0;58323;0;45185;30267;0;0;0;0;0;0;0;0;0;268757;1720;17919;19155;6359;2037;0;0
"23";2017;"0";"0";"0";0;0;0;0;0;53847;0;38619;0;19539;17477;0;0;0;0;0;0;0;0;0;151849;1566;8910;10095;1796;764;0;0
"24";2017;"0";"0";"0";0;0;0;0;0;93700;0;51336;0;13460;24803;0;0;0;0;0;0;0;0;0;200477;2947;7144;6231;855;424;0;0
"25";2017;"0";"0";"0";0;0;0;0;0;6707;0;7374;0;4661;5057;0;0;0;0;0;0;0;0;0;33742;54;1913;4788;3189;40;0;0
"26";2017;"0";"0";"0";0;0;0;0;0;12993;0;14324;0;10986;8983;0;0;0;0;0;0;0;0;0;75831;345;6279;13874;8047;399;0;0
"27";2017;"0";"0";"0";0;0;0;0;0;17975;0;14201;0;12354;9579;0;0;0;0;0;0;0;0;0;77150;411;7726;10099;4805;257;0;0
"28";2017;"0";"0";"0";0;0;0;0;0;30587;0;31007;0;18278;15432;0;0;0;0;0;0;0;0;0;136546;753;16425;18846;5219;557;0;0
"29";2017;"0";"0";"0";0;0;0;0;0;12358;0;16539;0;5049;6442;0;0;0;0;0;0;0;0;0;56893;560;7228;7724;994;102;0;0
"30";2017;"0";"0";"0";0;0;0;0;0;27143;0;25460;0;3382;12744;0;0;0;0;0;0;0;0;0;82374;387;8132;4813;313;28;0;0
"31";2017;"0";"0";"0";0;0;0;0;0;7264;0;7009;0;7263;2579;0;0;0;0;0;0;0;0;0;33360;201;1057;5348;2639;83;0;0
"32";2017;"0";"0";"0";0;0;0;0;0;21512;0;16335;0;18989;6229;0;0;0;0;0;0;0;0;0;88719;537;3591;14231;7295;389;0;0
"33";2017;"0";"0";"0";0;0;0;0;0;24299;0;15027;0;18109;6849;0;0;0;0;0;0;0;0;0;85287;704;4800;10602;4896;503;0;0
"34";2017;"0";"0";"0";0;0;0;0;0;40443;0;31225;0;24627;10852;0;0;0;0;0;0;0;0;0;138322;892;8573;16831;4879;472;0;0
