"";"Jahr";"Land";"Geschlecht";"Geburtsjahresgruppe";"sum(Summe)";"sum(Ungültig)";"CDU_CSU";"sum(SPD)";"sum(`DIE LINKE`)";"sum(GRÜNE)";"sum(FDP)";"sum(AfD)";"sum(Sonstige)"
"1";2017;"Baden-Württemberg";"m";"1947 und früher";529753;9234;215816;109150;20242;35569;75959;59738;4044
"2";2017;"Baden-Württemberg";"m";"1948 - 1957";456239;5440;135918;92166;33876;48152;59451;74409;6826
"3";2017;"Baden-Württemberg";"m";"1958 - 1972";906292;6294;258954;144917;61875;123218;112458;167403;31172
"4";2017;"Baden-Württemberg";"m";"1973 - 1982";404698;2774;115036;47737;28873;50635;59290;76218;24135
"5";2017;"Baden-Württemberg";"m";"1983 - 1992";421270;1776;110131;57163;38613;47527;67499;62183;36378
"6";2017;"Baden-Württemberg";"m";"1993 - 1999";248017;1685;58152;38257;20517;34681;47022;24692;23011
"7";2017;"Baden-Württemberg";"w";"1947 und früher";656831;15079;331198;117133;15993;55767;75708;38052;7900
"8";2017;"Baden-Württemberg";"w";"1948 - 1957";475163;5611;179203;84449;27576;64835;56040;46461;10988
"9";2017;"Baden-Württemberg";"w";"1958 - 1972";900477;7350;309853;139769;56028;161864;93714;91926;39973
"10";2017;"Baden-Württemberg";"w";"1973 - 1982";402180;2629;138518;53357;25475;70878;45191;40594;25536
"11";2017;"Baden-Württemberg";"w";"1983 - 1992";417326;2125;139811;60676;31621;65764;44509;35754;37066
"12";2017;"Baden-Württemberg";"w";"1993 - 1999";235696;979;69097;37595;20036;48315;25165;13068;21442
"13";2017;"Bayern";"m";"1947 und früher";657438;8320;316319;133026;24540;21792;65658;70066;17715
"14";2017;"Bayern";"m";"1948 - 1957";573716;3621;207183;110056;40446;36076;58308;93789;24237
"15";2017;"Bayern";"m";"1958 - 1972";1096921;5076;365034;164997;70501;104603;110185;207657;68868
"16";2017;"Bayern";"m";"1973 - 1982";511247;2243;166043;52887;33558;51925;63608;95693;45291
"17";2017;"Bayern";"m";"1983 - 1992";498716;1467;146760;56861;42455;46234;65400;80098;59440
"18";2017;"Bayern";"m";"1993 - 1999";293330;1498;79830;37285;24929;36210;43060;32066;38452
"19";2017;"Bayern";"w";"1947 und früher";814025;12092;455760;150118;19312;33891;70999;46757;25097
"20";2017;"Bayern";"w";"1948 - 1957";594282;4471;256682;104549;35434;47052;58133;56370;31590
"21";2017;"Bayern";"w";"1958 - 1972";1108157;5428;410796;161709;69170;146447;98679;120070;95858
"22";2017;"Bayern";"w";"1973 - 1982";508391;1620;197655;58886;30922;71409;47515;51610;48775
"23";2017;"Bayern";"w";"1983 - 1992";491978;1156;175220;62175;36049;72941;42311;43282;58843
"24";2017;"Bayern";"w";"1993 - 1999";292805;804;92406;38381;23486;53534;27392;18842;37958
"25";2017;"Berlin";"m";"1947 und früher";161711;2190;46716;38508;28196;6170;17210;20712;2009
"26";2017;"Berlin";"m";"1948 - 1957";126404;1644;25259;24448;26628;10185;11401;22956;3885
"27";2017;"Berlin";"m";"1958 - 1972";266004;2553;50432;42271;44271;34010;24863;53919;13686
"28";2017;"Berlin";"m";"1973 - 1982";144965;1253;25918;22527;27318;21639;13169;20451;12692
"29";2017;"Berlin";"m";"1983 - 1992";148986;1549;22005;22837;33020;21968;13359;16227;18021
"30";2017;"Berlin";"m";"1993 - 1999";54194;872;7329;9678;10291;7718;6313;4528;7465
