"";"Jahr";"Bezirksart";"Geschlecht";"Geburtsjahresgruppe";"Summe";"Ungültig";"Partei";"Stimmen";"meistgewähltProzent";"artBeteiligung"
"1";2017;"Urne";"m";"1993 - 1999";1314175;10808;"CDU_CSU";280008;21,3;78
"2";2017;"Urne";"m";"1983 - 1992";2221168;16436;"CDU_CSU";495295;22,3;74,6
"3";2017;"Urne";"m";"1973 - 1982";2393182;16942;"CDU_CSU";622833;26;77,8
"4";2017;"Urne";"m";"1958 - 1972";5242745;39513;"CDU_CSU";1385238;26,4;75,6
"5";2017;"Urne";"m";"1948 - 1957";2619380;29084;"CDU_CSU";727762;27,8;69,8
"6";2017;"Urne";"m";"1947 und früher";2864393;55527;"CDU_CSU";1083393;37,8;66,2
"7";2017;"Urne";"w";"1993 - 1999";1201097;9218;"CDU_CSU";311850;26;72
"8";2017;"Urne";"w";"1983 - 1992";2144967;16082;"CDU_CSU";608650;28,4;71,1
"9";2017;"Urne";"w";"1973 - 1982";2407460;19064;"CDU_CSU";786578;32,7;77
"10";2017;"Urne";"w";"1958 - 1972";5050757;47889;"CDU_CSU";1609079;31,9;72,2
"11";2017;"Urne";"w";"1948 - 1957";2652817;37573;"CDU_CSU";949865;35,8;66,9
"12";2017;"Urne";"w";"1947 und früher";3433732;89430;"CDU_CSU";1595426;46,5;63
"13";2017;"Brief";"m";"1993 - 1999";371532;2328;"CDU_CSU";98345;26,5;22
"14";2017;"Brief";"m";"1983 - 1992";756038;3055;"CDU_CSU";204432;27;25,4
"15";2017;"Brief";"m";"1973 - 1982";683341;2643;"CDU_CSU";207368;30,3;22,2
"16";2017;"Brief";"m";"1958 - 1972";1689681;7422;"CDU_CSU";519824;30,8;24,4
"17";2017;"Brief";"m";"1948 - 1957";1134057;5947;"CDU_CSU";353443;31,2;30,2
"18";2017;"Brief";"m";"1947 und früher";1461084;10191;"CDU_CSU";602317;41,2;33,8
"19";2017;"Brief";"w";"1993 - 1999";466377;1932;"CDU_CSU";144296;30,9;28
"20";2017;"Brief";"w";"1983 - 1992";871442;3570;"CDU_CSU";293289;33,7;28,9
"21";2017;"Brief";"w";"1973 - 1982";718316;3342;"CDU_CSU";263336;36,7;23
"22";2017;"Brief";"w";"1958 - 1972";1947421;9017;"CDU_CSU";689287;35,4;27,8
"23";2017;"Brief";"w";"1948 - 1957";1312579;8622;"CDU_CSU";503475;38,4;33,1
"24";2017;"Brief";"w";"1947 und früher";2018599;15214;"CDU_CSU";981956;48,6;37
"25";2021;"Urne";"m";"1997 - 2003";1091012;5773;"FDP";287494;26,4;61,4
"26";2021;"Urne";"m";"1987 - 1996";1642389;10909;"FDP";281473;17,1;54,2
"27";2021;"Urne";"m";"1977 - 1986";1891787;13179;"AfD";411623;21,8;59,1
"28";2021;"Urne";"m";"1962 - 1976";3645417;26089;"SPD";866504;23,8;58,4
"29";2021;"Urne";"m";"1952 - 1961";2150917;25016;"SPD";654981;30,5;51,9
"30";2021;"Urne";"m";"1951 und früher";2168193;41755;"CDU_CSU";758645;35;49,8
"31";2021;"Urne";"w";"1997 - 2003";931405;7168;"GRÜNE";225160;24,2;52,9
"32";2021;"Urne";"w";"1987 - 1996";1458879;12036;"GRÜNE";300214;20,6;48,3
"33";2021;"Urne";"w";"1977 - 1986";1826126;16114;"SPD";383810;21;56,2
"34";2021;"Urne";"w";"1962 - 1976";3357848;33597;"SPD";895803;26,7;52,9
"35";2021;"Urne";"w";"1952 - 1961";2081177;32140;"SPD";662675;31,8;48,4
"36";2021;"Urne";"w";"1951 und früher";2463021;68571;"CDU_CSU";911498;37;45,3
"37";2021;"Brief";"m";"1997 - 2003";685851;2528;"FDP";173933;25,4;38,6
"38";2021;"Brief";"m";"1987 - 1996";1385113;5494;"GRÜNE";331317;23,9;45,8
"39";2021;"Brief";"m";"1977 - 1986";1310889;4612;"GRÜNE";276765;21,1;40,9
"40";2021;"Brief";"m";"1962 - 1976";2593000;11737;"CDU_CSU";641319;24,7;41,6
"41";2021;"Brief";"m";"1952 - 1961";1993157;10111;"SPD";611672;30,7;48,1
"42";2021;"Brief";"m";"1951 und früher";2186404;16399;"CDU_CSU";830287;38;50,2
"43";2021;"Brief";"w";"1997 - 2003";828749;3492;"GRÜNE";268807;32,4;47,1
"44";2021;"Brief";"w";"1987 - 1996";1560334;6383;"GRÜNE";479337;30,7;51,7
"45";2021;"Brief";"w";"1977 - 1986";1424182;7445;"GRÜNE";333582;23,4;43,8
"46";2021;"Brief";"w";"1962 - 1976";2988622;15023;"SPD";795729;26,6;47,1
"47";2021;"Brief";"w";"1952 - 1961";2218107;12357;"SPD";719330;32,4;51,6
"48";2021;"Brief";"w";"1951 und früher";2971929;24556;"CDU_CSU";1207297;40,6;54,7
"49";2025;"Urne";"m";"2001-2007";1184572;5829;"AfD";334171;28,2;69,9
"50";2025;"Urne";"m";"1991-2000";1971708;7373;"AfD";589851;29,9;63,3
"51";2025;"Urne";"m";"1981-1990";2535000;10259;"AfD";938580;37;67,2
"52";2025;"Urne";"m";"1966-1980";4116951;16510;"AfD";1425255;34,6;68,5
"53";2025;"Urne";"m";"1956-1965";3129864;19575;"AfD";912243;29,1;65,1
"54";2025;"Urne";"m";"<=1955";2975381;34412;"CDU_CSU";1139695;38,3;60,2
"55";2025;"Urne";"w";"2001-2007";1049830;4225;"DIE LINKE";422094;40,2;62,9
